Sexo,P1,P7,P16,P22,P27,P29,P38,CAT_IMC
Hom,77.4,54.2,103,37.7,26.3,18.8,165.4,OBESO
Hom,85.5,63.2,92.8,38.6,25.7,18.5,176.6,NORMAL
Hom,91.6,60.2,104,38.6,26.5,20.2,172.4,OBESO
Hom,77,57.2,87.4,36.5,25,18.8,173.3,NORMAL
Hom,65.8,57.1,82.3,36.4,25.3,19.2,165.3,NORMAL
Hom,71.1,55.6,89.8,37.3,24.4,18.2,163.8,NORMAL
Hom,,54.5,89.3,36.2,25.5,18.2,165.7,NORMAL
Hom,74.9,60.1,92,37.7,24.5,18.3,162.6,OBESO
Hom,73.6,55.1,88.9,36.5,25,17.8,170.4,NORMAL
Hom,56.2,48.9,75.4,33.7,26.3,19.3,171.1,DELGADO
Hom,79.1,58.1,91.3,37.4,25.2,18.8,170.8,NORMAL
Hom,87.4,61.1,91.2,40.5,27.8,20.5,179.9,NORMAL
Hom,63.1,52.4,81.1,34.8,25.4,18.5,166.5,NORMAL
Hom,70.6,55.8,85.1,35.5,24,18.7,166.4,NORMAL
Hom,78.8,62.7,82.4,38.5,27.2,20,173.6,NORMAL
Hom,61.9,54.5,,33.3,25.3,17.4,163,NORMAL
Hom,52,48,67.9,31.7,24.5,18.6,166.8,DELGADO
Hom,72,57.3,88.9,35.4,23.6,17.6,164.9,NORMAL
Hom,74.8,53.9,88.5,37.6,25.6,18.7,172.8,NORMAL
Hom,60.1,51.1,78.6,33.6,24.8,17.5,170.1,NORMAL
Hom,84.8,57.6,102.3,38.2,25.4,19,170.2,OBESO
Hom,66.2,53.5,86.9,34.9,24.5,18.7,165.8,NORMAL
Hom,88.9,60.6,104.4,39.4,24.5,18.4,167.4,OBESO
Hom,67.5,52.3,88.2,36,26.5,19.6,173.7,NORMAL
Hom,85.5,61.3,98.6,39,25.1,19.4,,OBESO
Hom,95.3,66.6,113.6,42,26.1,19.2,169.1,OBESO
Hom,75.4,58.1,92.6,37.5,25.1,18.1,170.1,NORMAL
Hom,77.5,58.7,97,37.4,22.9,16.6,160.7,OBESO
Hom,66.8,54,89.3,35.3,25.6,19.3,162.2,NORMAL
Hom,83.5,60.2,96.7,41.6,25.2,18.2,166.5,OBESO
Hom,80.6,,86.3,36.1,27.4,20.3,178.8,NORMAL
Hom,74.9,58.7,92.9,37.1,24.4,17.8,162.4,OBESO
Hom,84.2,60.7,95.9,38.8,24.2,18.6,171.6,OBESO
Hom,70.4,53.8,84,36.2,25.1,18.7,170.8,NORMAL
Hom,82.3,61.7,88.2,38.2,26.3,19,182.6,NORMAL
Hom,87.3,62.8,105,40.2,25.3,19.1,169.4,OBESO
Hom,94.9,64.7,102.3,41.2,25.1,19.2,166.6,OBESO
Hom,87.8,64.4,96.9,39.9,25,18.7,169.8,OBESO
Hom,71,58.9,88.5,37.4,24.2,17.6,162.8,NORMAL
Hom,83.1,59.2,92.3,38.3,,19.7,174,NORMAL
