SEXO P1 P7 P16 P22 P26 P27 P29 P38 IMC
Hom 77.4 54.2 103 37.7 58.7 26.3 18.8 165.4 28.3
Hom 85.5 63.2 92.8 38.6 62.1 25.7 18.5 176.6 27.4
Hom 91.6 60.2 104 38.6 59.4 26.5 20.2 172.4 30.8
Hom 77 57.2 87.4 36.5 59.9 25 18.8 173.3 25.6
Hom 65.8 57.1 82.3 36.4 57.7 25.3 19.2 165.3 24.1
Hom 71.1 55.6 89.8 37.3 55.2 24.4 18.2 163.8 26.5
Hom 69.1 54.5 89.3 36.2 55.5 25.5 18.2 165.7 25.2
Hom 74.9 60.1 92 37.7 55.2 24.5 18.3 162.6 28.3
Hom 73.6 55.1 88.9 36.5 56.9 25 17.8 170.4 25.4
Hom 56.2 48.9 75.4 33.7 58.6 26.3 19.3 171.1 19.2
Hom 79.1 58.1 91.3 37.4 57.2 25.2 18.8 170.8 27.1
Hom 87.4 61.1 91.2 40.5 59.2 27.8 20.5 179.9 27
Hom 63.1 52.4 81.1 34.8 57.3 25.4 18.5 166.5 22.8
Hom 70.6 55.8 85.1 35.5 55.6 24 18.7 166.4 25.5
Hom 78.8 62.7 82.4 38.5 61.1 27.2 20 173.6 26.2
Hom 61.9 54.5 80.7 33.3 55.4 25.3 17.4 163 23.3
Hom 52 48 67.9 31.7 54.1 24.5 18.6 166.8 18.7
Hom 72 57.3 88.9 35.4 55.2 23.6 17.6 164.9 26.5
Hom 74.8 53.9 88.5 37.6 57.2 25.6 18.7 172.8 25.1
Hom 60.1 51.1 78.6 33.6 56.9 24.8 17.5 170.1 20.8
Hom 84.8 57.6 102.3 38.2 56.5 25.4 19 170.2 29.3
Hom 66.2 53.5 86.9 34.9 55.6 24.5 18.7 165.8 24.1
Hom 88.9 60.6 104.4 39.4 56.3 24.5 18.4 167.4 31.7
Hom 67.5 52.3 88.2 36 57.4 26.5 19.6 173.7 22.4
Hom 85.5 61.3 98.6 39 61.5 25.1 19.4 173.9 28.3
Hom 95.3 66.6 113.6 42 57.7 26.1 19.2 169.1 33.3
Hom 75.4 58.1 92.6 37.5 59.4 25.1 18.1 170.1 26.1
Hom 77.5 58.7 97 37.4 53.6 22.9 16.6 160.7 30
Hom 66.8 54 89.3 35.3 56.5 25.6 19.3 162.2 25.4
Hom 83.5 60.2 96.7 41.6 57.5 25.2 18.2 166.5 30.1
Hom 80.6 57.9 86.3 36.1 60.7 27.4 20.3 178.8 25.2
Hom 74.9 58.7 92.9 37.1 55.6 24.4 17.8 162.4 28.4
Hom 84.2 60.7 95.9 38.8 57.4 24.2 18.6 171.6 28.6
Hom 70.4 53.8 84 36.2 56.3 25.1 18.7 170.8 24.1
Hom 82.3 61.7 88.2 38.2 61.4 26.3 19 182.6 24.7
Hom 87.3 62.8 105 40.2 58.2 25.3 19.1 169.4 32.7
Hom 94.9 64.7 102.3 41.2 58.2 25.1 19.2 166.6 34.2
Hom 87.8 64.4 96.9 39.9 59.3 25 18.7 169.8 30.5
Hom 71 58.9 88.5 37.4 55.5 24.2 17.6 162.8 26.8
Hom 83.1 59.2 92.3 38.3 61 26.1 19.7 174 27.5
Hom 84.6 59.9 101.9 37.4 60.2 27.1 20.1 172.7 28.4
Hom 64.3 53.6 80.6 35.5 57.3 25.5 18.6 173.5 21.4
Hom 79.7 60.4 91.2 38.6 59.2 26 19.6 173.9 26.4
Hom 64.8 55.2 74.4 36.1 58.6 24.4 18.1 172.8 21.7
Hom 65.3 58.5 82.9 34.7 55.9 23.7 18.2 159.3 25.7
Hom 69.1 58.2 78 38.2 58.8 26.5 19 176.8 22.1
Hom 69.2 51.1 87.4 36.2 61.4 26.4 19.1 170.5 23.8
Hom 58 51.5 74.4 35.3 53.6 26.1 18.5 165.4 21.2
Hom 57 51.3 76 31.7 56.6 24.5 17.4 165 20.9
Hom 87.4 67.3 98 41.1 60.1 25.3 19.2 166.5 31.5
Hom 83.4 57.3 89.8 38.9 63.6 27.3 19.5 184.1 24.6
Hom 71.4 56.9 83.4 33.5 57.7 25.4 18.6 176.7 22.9
Hom 81 54.2 95.6 34.2 60 25.7 19.6 179.5 25.1
Hom 89.2 62.7 97.3 38.8 59 26.2 19.6 173.6 29.6
Hom 84.1 63.3 95 38.4 60.1 24.4 19.3 169.3 29.3
Hom 75.8 58.7 88.2 36.1 58.9 25.5 19.1 172.9 25.4
Hom 87.9 62.3 91.8 39.4 59.8 27 19.2 177.1 28
Hom 117.3 70.1 111.5 44 62.8 26.8 19.2 181.3 36
